Chrono;Time;MIDS Status;DLIP Saturation;TDH079;retard (ms)
150.02;00:02:30.020;;;;31
150.05;00:02:30.050;;;;10
150.16;00:02:30.160;;;;20
150.18;00:02:30.180;;;;20
150.21;00:02:30.210;;;;20
150.21;00:02:30.210;;;;2
150.24;00:02:30.240;;;;19
150.30;00:02:30.300;;;;30
150.32;00:02:30.320;;;;19
150.32;00:02:30.320;;;;19
150.37;00:02:30.370;;;;9
150.37;00:02:30.370;;;;9
150.46;00:02:30.460;;;;9
150.49;00:02:30.490;;;;9
150.49;00:02:30.490;;;;9
150.55;00:02:30.550;;;;10
150.55;00:02:30.550;;;;10
150.63;00:02:30.630;;;;10
150.63;00:02:30.630;;;;10
150.72;00:02:30.720;;;;30
150.72;00:02:30.720;;;;30
150.75;00:02:30.750;;;;40
150.75;00:02:30.750;;;;40
150.84;00:02:30.840;;;;20
150.87;00:02:30.870;;;;20
150.87;00:02:30.870;;;;20
150.90;00:02:30.900;;;;20
150.90;00:02:30.900;;;;20
150.97;00:02:30.970;;;;10
150.97;00:02:30.970;;;;9
151.04;00:02:31.040;;;;20
151.04;00:02:31.040;;;;20
151.06;00:02:31.060;;;;10
151.06;00:02:31.060;;;;10
151.12;00:02:31.120;;;;10
151.12;00:02:31.120;;;;10
151.20;00:02:31.200;;;;10
151.20;00:02:31.200;;;;10
151.26;00:02:31.260;;;;10
151.26;00:02:31.260;;;;10
152.14;00:02:32.140;;;;30
152.24;00:02:32.240;;;;10
153.67;00:02:33.670;;;;20
153.83;00:02:33.830;;;;10
154.01;00:02:34.010;;;;30
154.03;00:02:34.030;;;;19
154.03;00:02:34.030;;;;18
154.13;00:02:34.130;;;;10
154.65;00:02:34.650;;;;30
154.65;00:02:34.650;;;;30
154.71;00:02:34.710;;;;29
154.80;00:02:34.800;;;;30
155.05;00:02:35.050;;;;10
155.05;00:02:35.050;;;;10
155.16;00:02:35.160;;;;31
155.22;00:02:35.220;;;;10
155.82;00:02:35.820;;;;10
156.69;00:02:36.690;;;;19
